Employee Code,AttendanceDate,InTime, OutTime
18,5/27/2017,09:54,17:31
21,5/27/2017,00:00,00:00
22,5/27/2017,09:49,18:15
24,5/27/2017,00:00,00:00
26,5/27/2017,00:00,00:00
29,5/27/2017,00:00,00:00
30,5/27/2017,00:00,00:00
31,5/27/2017,00:00,00:00
32,5/27/2017,00:00,00:00
36,5/27/2017,03:02,02:57
37,5/27/2017,09:26,17:33
38,5/27/2017,00:00,00:00
39,5/27/2017,15:56,17:38
40,5/27/2017,03:30,18:50
42,5/27/2017,00:00,00:00
43,5/27/2017,00:00,00:00
44,5/27/2017,11:22,11:22
45,5/27/2017,09:15,09:15
46,5/27/2017,09:44,09:44
47,5/27/2017,09:49,14:17
48,5/27/2017,10:21,17:55
49,5/27/2017,09:26,18:01
50,5/27/2017,00:00,00:00
51,5/27/2017,12:14,18:05
52,5/27/2017,18:57,03:33
T1,5/27/2017,00:00,00:00
T2,5/27/2017,00:00,00:00
T3,5/27/2017,00:00,00:00
1,5/26/2017,09:51,18:37
2,5/26/2017,09:57,09:57
3,5/26/2017,03:04,11:34
4,5/26/2017,03:05,11:50
5,5/26/2017,09:31,17:41
6,5/26/2017,09:54,17:42
8,5/26/2017,09:31,09:31
13,5/26/2017,00:00,00:00
14,5/26/2017,12:57,21:47
15,5/26/2017,10:29,18:25
18,5/26/2017,09:50,17:36
21,5/26/2017,09:38,20:04
22,5/26/2017,09:58,18:24
24,5/26/2017,09:49,17:36
26,5/26/2017,09:24,09:24
29,5/26/2017,00:00,00:00
30,5/26/2017,00:00,00:00
31,5/26/2017,00:00,00:00
32,5/26/2017,00:00,00:00
36,5/26/2017,00:00,00:00
37,5/26/2017,09:25,17:42
38,5/26/2017,00:00,00:00
39,5/26/2017,09:25,09:25
40,5/26/2017,03:32,18:35
42,5/26/2017,00:00,00:00
43,5/26/2017,00:00,00:00
44,5/26/2017,10:24,17:51
45,5/26/2017,09:19,09:19
46,5/26/2017,09:58,09:58
47,5/26/2017,09:59,21:47
48,5/26/2017,09:18,18:25
49,5/26/2017,09:26,09:26
50,5/26/2017,00:00,00:00
51,5/26/2017,00:00,00:00
52,5/26/2017,19:02,03:30
T1,5/26/2017,00:00,00:00
T2,5/26/2017,00:00,00:00
T3,5/26/2017,00:00,00:00
1,5/25/2017,09:56,18:12
2,5/25/2017,09:40,09:40
3,5/25/2017,00:00,00:00
4,5/25/2017,00:00,00:00
5,5/25/2017,09:27,19:13
6,5/25/2017,09:40,17:11
8,5/25/2017,09:27,19:13
13,5/25/2017,00:00,00:00
14,5/25/2017,12:59,21:35
15,5/25/2017,09:50,18:13
18,5/25/2017,09:45,17:35
21,5/25/2017,09:26,18:55
22,5/25/2017,09:47,18:12
24,5/25/2017,09:45,18:03
26,5/25/2017,09:20,09:20
29,5/25/2017,12:00,12:00
30,5/25/2017,00:00,00:00
31,5/25/2017,00:00,00:00
32,5/25/2017,00:00,00:00
36,5/25/2017,02:54,11:48
37,5/25/2017,09:21,17:59
38,5/25/2017,00:00,00:00
39,5/25/2017,00:00,00:00
40,5/25/2017,18:51,18:51
42,5/25/2017,00:00,00:00
43,5/25/2017,09:34,09:34
44,5/25/2017,10:34,19:24
45,5/25/2017,09:18,17:59
46,5/25/2017,09:47,09:47
47,5/25/2017,10:08,20:45
48,5/25/2017,09:23,18:39
49,5/25/2017,09:29,09:29
50,5/25/2017,00:00,00:00
51,5/25/2017,09:30,09:30
52,5/25/2017,19:01,03:31
T1,5/25/2017,00:00,00:00
T2,5/25/2017,00:00,00:00
T3,5/25/2017,00:00,00:00
1,5/24/2017,09:59,17:27
2,5/24/2017,00:00,00:00
3,5/24/2017,00:00,00:00
4,5/24/2017,19:06,03:30
5,5/24/2017,09:36,19:19
6,5/24/2017,09:40,09:40
8,5/24/2017,00:00,00:00
13,5/24/2017,00:00,00:00
14,5/24/2017,00:00,00:00
15,5/24/2017,10:02,19:21
18,5/24/2017,09:44,17:43
21,5/24/2017,00:00,00:00
22,5/24/2017,10:11,19:19
24,5/24/2017,09:40,17:43
26,5/24/2017,09:31,09:31
29,5/24/2017,11:36,03:04
30,5/24/2017,00:00,00:00
31,5/24/2017,00:00,00:00
32,5/24/2017,00:00,00:00
36,5/24/2017,00:00,00:00
37,5/24/2017,09:36,09:36
38,5/24/2017,00:00,00:00
39,5/24/2017,09:31,09:31
40,5/24/2017,00:00,00:00
42,5/24/2017,00:00,00:00
43,5/24/2017,09:33,18:16
44,5/24/2017,00:00,00:00
45,5/24/2017,09:14,18:07
46,5/24/2017,09:41,09:41
47,5/24/2017,10:00,20:07
48,5/24/2017,09:43,19:22
49,5/24/2017,12:57,21:00
50,5/24/2017,00:00,00:00
51,5/24/2017,09:30,18:04
52,5/24/2017,18:59,03:30
T1,5/24/2017,00:00,00:00
T2,5/24/2017,00:00,00:00
T3,5/24/2017,00:00,00:00
1,5/23/2017,18:01,18:01
2,5/23/2017,09:42,09:42
3,5/23/2017,11:32,11:32
4,5/23/2017,19:01,03:36
5,5/23/2017,09:32,19:21
6,5/23/2017,09:40,09:40
8,5/23/2017,09:32,09:32
13,5/23/2017,00:00,00:00
14,5/23/2017,13:01,21:34
15,5/23/2017,10:37,17:47
18,5/23/2017,09:43,17:37
21,5/23/2017,09:15,19:21
22,5/23/2017,09:45,18:41
24,5/23/2017,09:43,18:01
26,5/23/2017,09:30,09:30
29,5/23/2017,03:00,03:01
30,5/23/2017,00:00,00:00
31,5/23/2017,00:00,00:00
32,5/23/2017,00:00,00:00
36,5/23/2017,22:04,02:58
37,5/23/2017,09:30,18:19
38,5/23/2017,00:00,00:00
39,5/23/2017,09:33,09:33
40,5/23/2017,03:30,03:30
42,5/23/2017,00:00,00:00
43,5/23/2017,09:12,09:12
44,5/23/2017,00:00,00:00
45,5/23/2017,00:00,00:00
46,5/23/2017,00:00,00:00
47,5/23/2017,09:43,18:28
48,5/23/2017,09:13,18:10
49,5/23/2017,09:28,18:19
50,5/23/2017,00:00,00:00
51,5/23/2017,00:00,00:00
52,5/23/2017,18:57,03:30
T1,5/23/2017,00:00,00:00
T2,5/23/2017,00:00,00:00
T3,5/23/2017,00:00,00:00
